Role of Job,Company Name,Company Location,Type of Work,Description,extracted_skills
Maintenance Engineer,Tetra Pak,"Manila, Metro Manila",,"press tab to move to skip to content link

select how often (in days) to receive an alert: create alert

at tetra pak we commit to making food safe and available, everywhere; and we protect what's good – protecting food, protecting people, and protecting the planet. by doing so we touch millions of people's lives every day. and we need people like you to make it happen.

our services team is looking for a maintenance engineer who will be support the tetra pak technical service department which provide services in processing, packaging, filling and distribution solutions & equipment to our customers in dairy & beverage industry. you will deliver technical products and support to customers by providing commissioning, preventive maintenance and troubleshooting services. this is a customer-fronting role.

this is a permanent position based in manila and report to report to service delivery manager.

what you will do


as a maintenance/service engineer, you will:

participate in preparing customer site for installation events, assembling machines.

participate in execution of preventive maintenance activities.

inform relevant tetra pak staff in a timely manner about discovered technical issues.

participate in the installation of relevant rebuilding/upgrade kits.

inform relevant tetra pak field staff about ongoing service activities as well as of any issues affecting the customer or the quality of tetra pak service.

act as an ambassador for tetra pak at all times, ensuring good working relationships with the customer and tetra pak colleagues and that tetra pak’s reputation is sustained.

execute all work in accordance with tetra pak and customer safety regulations and requirements. execute all work in accordance with tetra pak standards and requirements regarding product quality and food safety. escalate all discovered food safety, quality assurance and regulatory issues.

comply with all reporting requirements.

we believe you have


possess a minimum diploma in electrical, mechatronic or mechanical engineering.

prefer candidates with 2 years of relevant working experience in field service / beverage production line maintenance with good hands-on skills but not mandatory. fresh graduate will be considered

fluency in english and local language. demonstrate good communication skill.

willing to travel 90% time. may be assigned to support oversea tasks when required.

willing to work ot and flexible hours according to customer’s production needs, including weekend, public holidays, festive holidays and/or odd hours whenever required.

we offer you

a variety of exciting challenges with ample opportunities for development and training in a truly global landscape

a culture that pioneers a spirit of innovation where our industry experts drive visible results

an equal opportunity employment experience that values diversity and inclusion

market competitive compensation and benefits with flexible working arrangements

apply now

if you are inspired to be part of our promise to protect what’s good; for food, people, and the planet, apply through our careers page athttps://jobs.tetrapak.com/ .

#j-18808-ljbffr",[]
Service Engineer,Uni-Tech Philippines Industrial Machinery Inc.,"Tanza, Calabarzon",,"company information

uni-tech philippines industrial machinery inc.
unitech warehouse, 9rhq+78f, antero soriano hwy, tanza, cavite
tanza, cavite
4108
website: https://www.greephilippines.com.ph/index.html
uni-tech philippines industrial machinery, inc., or simply uni-tech, is currently the authorized distributor of gree products in the philippines, including a series of air-conditioning system and home appliances. founded in january 2011, uni-tech introduced commercial air conditioning in 2015 and the full product line starting 2018.

uni-tech is a subsidiary of the unitop group of companies.

aside from distributing gree products to dealers nationwide, uni-tech is also the primary gree service provider for air con installations, repairs and parts replacements.

uni-tech was awarded by gree as “brand strategic partner” for 2015 and “best marketing performance for commercial air conditioners” for 2017.


job qualifications

candidate must possess atleast bachelor's/college degree, professional license (passed board/bar/professional license exam) in engineering (mechatronic/electromechanical) or equivalent.
at least 2 year(s) of working experience in the related field is required for this position.
required skill(s): mechanical, air conditioning, refrigeration
preferably 1-4 yrs experienced employee specialized in engineering - mechanical/automotive or equivalent.
we are seeking for a flexible and motivated service engineer.

to ensure your success in this role, you will have:

* candidate must possess at least bachelor's degree in mechanical engineering, hvac engineering technology, or equivalent

*must be licensed mechanical engineer

* at least 2 year(s) of working experience in the related field is required for this position.

* preferably 1-4 yrs experienced employee specialized ref and air con

* knowledgeable in heating, ventilation and air-conditioning (hvac)

* with average oral and written communication skills

* can work under minimum supervision using standardized practices and methods

* resourceful, hardworking, mature, and can maintain professionalism under any circumstances

* a natural team player but can work independently if needed

* willing to do field work

key responsibilities:

* ensure quality of workmanship in any project assigned.

* responsible for the maintenance and servicing of air con units in every assigned projects.

* project monitoring (status & progress)

* submit necessary reports/accomplishment reports about your assigned task.

* provides supervisory and technical support to colleagues and communicate with staff at all levels.

* request accurate materials in the assigned projects.

* ensures that follow-up work requirements are referred back to the appropriate staff to enable necessary action and recommendations to clients.

* assists project administration team in other project related activities such as but not limited to, coordination with project proponents, construction site administrators, suppliers, etc.

* ensures quality of workmanship in any project assigned.

* responsible for the installation, commissioning, maintenance and servicing of air con units in every assigned projects.

* submits necessary reports/accomplishment reports about your assigned task.

* provides supervisory and technical support to colleagues and communicate with staff at all levels.

* other instructions by the immediate supervisor.",['sis']
Sr. Procurement Expert,Denso Philippines Corporation,"Laguna, Calabarzon",,"requirements

at least 2 year(s) of working experience in the related field is required for this position.
candidate must possess at least a bachelor's/college degree on engineering (computer), engineering (electrical), engineering (electronic and communication), engineering (industrial), engineering (marine), engineering (mechanical), engineering (mechatronic/electromechanical).
junior associate (1-4 yrs experience) specializing in manufacturing/production operations or equivalent.
required language(s): english, filipino.

responsibilities

job summary

reporting to the team leader, the sr. procurement expert we seek shall ensure effective and efficient operation under his/ her responsibilities. he/ she shall ensure that all parts are processed on time, correct source planning, parts development, competitive price approval and continuous supplies to specified end-users.

process requisition based on best negotiated price and ensure that it can be deliver on time.
can perform cost reduction activity/ vave (value analysis and value engineering).
support in the evaluation & accreditation of suppliers
support and assist other department on supplier concerns.
assist supplier in quality system, environmental, and technical matters.

additional requirements

qualifications

graduate of bs mechanical engineering, bs electrical engineering, industrial engineering or any engineering course.
relevant work experience in purchasing, logistics, and manufacturing operations will be an advantage.
with knowledge in handling inventory cycle
above average communication & interpersonal skills
good presentation skills
ms office proficient

additional info

location: laguna, calabarzon (region iv-a).
full time position(s) are available.
number of vacancies: 1.

social media footer

learn more!

facebook

about us

denso philippines corporation is the subsidiary of denso corporation of japan. it is one of denso’s global companies found in more than 38 countries and regions worldwide. denso is a leading supplier of advanced automotive technology, systems and components for all the world’s major automakers. committed to make the world better by creating superior car parts, denso has innovated many world-first products and technologies. 

through denso’s efforts to expand globally, philippine auto components, inc. (former company name) was established in the philippines, march of 1995. june of 2016 the company was renamed as denso philippines corporation. currently, products manufactured in the company are: meter cluster, air-con, radiator, compressor, smart key, sender gauge and sonar sensor. it also distributes aftermarket products: wiper blades, spark plugs, horn, cdi, relay, ac generator, bus air-con, ac service parts, diesel service parts and accessories such as ionizer and hand scanner.

denso’s mission is “contributing to a better world by creating value together with a vision for the future”.

our goal is to contribute to the society by innovating and creating products that would make driving safer and more secure while preserving the planet. our associates are expected to breakthrough their own boundaries, trust their potential and enhance their capabilities.",['sis']
Line Maintenance Technician - Valenzuela City,Q.C. Styropackaging Corporation,"Valenzuela, Metro Manila",,"qualifications :

must possess at least a vocational diploma / short course certificate, bachelor's/college degree , engineering (mechatronic/electromechanical) or equivalent.
with at least 2 years of experience in machine maintenance/repair (line maintenance and facilities)
knowledgeable on the principles of plc and hydraulic operation
with knowledge and troubleshooting skills on electro-mechanical equipment/machine
willing to work in shifting schedules.
willing to work in lawang bato valenzuela city
can start immediately

responsibilities:

- will provide technical assistance to the maintenance leadman and foremen in terms of machinery maintenance (production engineering- line maintenance) and facility engineering (building maintenance)
- will conduct testing of manufacturing machine/equipment
- will repair electro- mechanical equipment, installation, aligning and balancing of new equipment, pipe fitting; boiler making, insulation, welding, machining
- clean/lubricate shafts, bearings, gears and other parts of machinery, repair/replace defective equipment parts using hand tools and power tools and re- assemble equipment.
- maintain and perform routine preventive maintenance to ensure that machines continue to run smoothly","['plc', 'sis']"
"Staff Perception Software Engineer, Sensor Fusion (R3473)",Shield AI,"Cebu City, Central Visayas",,"staff perception software engineer, sensor fusion (r3473)join to apply for the staff perception software engineer, sensor fusion (r3473) role at shield aistaff perception software engineer, sensor fusion (r3473)2 days ago be among the first 25 applicants

join to apply for the staff perception software engineer, sensor fusion (r3473) role at shield aifounded in 2015, shield ai is a venture-backed defense technology company with the mission of protecting service members and civilians with intelligent systems. its products include the v-bat aircraft, hivemind enterprise, and the hivemind vision product lines. with offices in san diego, dallas, washington, d.c., boston, abu dhabi (uae), kyiv (ukraine), and melbourne (australia), shield ai’s technology actively supports u.s. and allied operations worldwide.

for more information, visit www.shield.ai. follow shield ai on linkedin, x , youtube and instagram. as a member of the hmx perception team, you will conduct software development at the intersection of classical state estimation techniques, sensor fusion, artificial intelligence, machine learning, and machine perception.

you will develop cutting-edge technology onto real hardware that provides robust and accurate estimates of vehicle pose and surroundings for real missions. shield ai is pushing the envelope by applying advanced ai solutions to real hardware systems. an ideal candidate should aspire to be a part of this industry-changing team developing and deploying advanced technology that can truly make an impact.

what you'll do:write production quality software in c++produce an assured position, navigation, and timing (a-pnt) system to enable reliable autonomy in gnss-degraded or denied environments

extend and specialize shield ai’s state-of-the-art state estimation framework for new sensors, platforms, and missions

write test code to validate your software with simulated and real-world data

collaborate with hardware and test teams to validate algorithms/code on aerial platforms

write analyzers to ingest data and produce statistics to validate code quality

enhance sensor models within a high-fidelity simulation environment

work in a fast-paced, collaborative, continuous development environment, enhancing analysis and benchmarking capabilities

required qualifications:bs/ms in computer science, electrical engineering, mechanical engineering, aerospace engineering, and/or similar degree, or equivalent practical experience

ability to develop, benchmark, debug, and deploy software-based algorithms

demonstrated problem solving skills by applying a scientific approach

typically requires a minimum of 7 years of related experience with a bachelor’s degree; or 5 years and a master’s degree; or 4 years with a phd; or equivalent work experience

demonstrated experience integrating and working with sensor payloads in the dod space

proficient with sensor fusion for noisy high-bandwidth exteroceptive sensors on compute-constrained systemsa solid foundation in theory related to state estimation, object detection, data association, probabilistic robotics, and signal processing.experience working projects with 10+ contributors

offers fast, efficient, effective problem solving approaches

exceptional collaborator and communicator

comfortability within unix environments

hard-working, trustworthy teammate

exhibits holding themselves and others to high standards

being kind to others

ability to obtain a secret clearance

preferred qualifications:ms or greater in computer science, electrical engineering, mechanical engineering, aerospace engineering, and/or similar degree, or equivalent practical experience

understanding of robotics technologies related to autonomous behavior development e.g. task allocation or planning.understanding/experience with unmanned system technologies and accompanying algorithms (specifically air domain)familiarity with high-fidelity simulation and sensor modeling

working knowledge of kalman filter, factor graphs and other modern estimator fundamentals.strong working knowledge of computer vision with hands-on experience with opencv or similar cv libraries.experience developing sensor effects (control) algorithms.hands-on experience developing or implementing state of the art object detection/recognition pipelines.active secret clearance

experience with uci and oms standards$181,540 - $272,310 a year#ldfull-time regular employee offer package:pay within range listed + bonus + benefits + equitytemporary employee offer package:pay within range listed above + temporary benefits package (applicable after 60 days of employment)salary compensation is influenced by a wide array of factors including but not limited to skill set, level of experience, licenses and certifications, and specific work location. all offers are contingent on a cleared background and possible reference check. military fellows and part-time employees are not eligible for benefits.

please speak to your talent acquisition representative for more information. ###shield ai is proud to be an equal opportunity workplace and is an affirmative action employer. we are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, marital status, disability, gender identity or veteran status.

if you have a disability or special need that requires accommodation, please let us know. seniority level

seniority level

mid-senior level

employment type

employment type

full-time

job function

job function

engineering and information technologyindustriessoftware developmentreferrals increase your chances of interviewing at shield ai by 2xsign in to set job alerts for “staff software engineer” roles.senior staff perception software engineer, sensor fusion (r3473)metro cebu $220,800.00-$331,200.00 2 weeks ago

senior software developer (php and python web)cebu, central visayas, philippines 3 weeks ago

principal software engineer: java full stack (remote)cebu, central visayas, philippines 1 month ago

cebu, central visayas, philippines 2 weeks ago

cebu, central visayas, philippines 4 months ago

cebu, central visayas, philippines 2 weeks ago

principal software engineer: java full stack (remote)cebu, central visayas, philippines 2 months ago

cebu, central visayas, philippines 2 days ago

cebu, central visayas, philippines 2 weeks ago

cebu, central visayas, philippines 2 days ago

senior full stack developer (c# | asp.net | typescript | react)cebu, central visayas, philippines 2 days ago

senior software engineer i - full stack devcebu, central visayas, philippines 2 weeks ago

cebu, central visayas, philippines 2 weeks ago

senior full stack developer (c# .net, angular)cebu, central visayas, philippines 3 weeks ago

cebu, central visayas, philippines 2 years ago

cebu, central visayas, philippines 1 day ago

cebu, central visayas, philippines 20 hours ago

cebu, central visayas, philippines 1 week ago

cebu, central visayas, philippines 1 week ago

cebu, central visayas, philippines 5 months ago

cebu, central visayas, philippines 2 weeks ago

we’re unlocking community knowledge in a new way. experts add insights directly into each article, started with the help of ai.


#j-18808-ljbffr",['sis']
Clinical Specialist - Robotics,MicroPort Scientific Corporation,"Makati City, Metro Manila",,"1 month ago be among the first 25 applicants

direct message the job poster from microportjoin our mission to advance surgical robotics in healthcare. we are actively recruiting clinical specialists. applicants must possess relevant work permits. reporting to:apac clinical manager. key responsibilities1. clinical collaboration

partner with healthcare providers and clinical teams to understand their needs and seamlessly integrate our toumai laparoscopic surgical robot into their workflows.
develop comprehensive surgical plans to enable hospitals to operate independently without requiring direct support.
promote the use of clinical instruments and accessories, driving optimal adoption and utilization.2.

product demonstration & training

conduct engaging product demonstrations, workshops, and training sessions for healthcare professionals.
highlight the benefits, ensure safe usage, and demonstrate the optimal performance of our medical robots.
work to expand the user base within hospitals and cultivate relationships with key opinion leaders (kols).3.

clinical support

provide ongoing clinical guidance and troubleshooting to ensure effective and safe utilization of robotic systems in diverse medical settings.4.

regulatory compliance

ensure adherence to local and international medical device regulations and standards.
champion best practices in clinical applications.5.

market analysis

conduct in-depth market research to identify trends, competitor activities, and potential partnerships.
contribute strategic insights to drive the growth of our medical robotics portfolio.

qualifications

education: bachelor's degree in a relevant field.
experience: minimum of 3 years in a clinical setting, ideally involving surgical robotics or advanced medical devices.
technical proficiency: strong understanding of medical robotics, device technology, and clinical workflows.
communication & teaching skills: exceptional ability to convey complex information clearly to diverse audiences, both verbally and in writing.
interpersonal skills: proven ability to build strong relationships with healthcare professionals, fostering trust and collaboration.
regulatory knowledge: familiarity with apac medical device regulations.
travel flexibility: willingness to travel frequently to support clinical activities and training sessions.
language requirement: proficiency in english (business level).

seniority level

seniority level

entry level

employment type

employment type

full-time

job function

job function

engineering and otherreferrals increase your chances of interviewing at microport by 2xget notified about new clinical specialist jobs in philippines.ph nurses - clinical auditor | wfh | tnkmakati, national capital region, philippines 1 month ago

clinical documentation improvement quality assurance (cdi qa specialist)remote business development specialist – clinical trials (part-time/full-time)national capital region, philippines 3 days ago

dental / medical aesthetics sales development representative - phcertified medical coder | rn with cpc | wfhmedical coder analyst | rn with cpc | wfhmedical coder | rn and cpc | wfh | night shiftmedical coder | eastwood | hybrid/remote | night shift

remote business development (english/spanish) must be a woman clinical trials experiencedremote business development (english/spanish) must be a woman clinical trials experiencedcebu, central visayas, philippines 2 days ago

safety operations manager (japanese speaker)we’re unlocking community knowledge in a new way. experts add insights directly into each article, started with the help of ai.


#j-18808-ljbffr",['sis']
DevOps Engineer,Kuehne & Nagel,"Cebu City, Central Visayas",,"join to apply for the devops engineer role at kuehne+nagel 2 days ago be among the first 25 applicants join to apply for the devops engineer role at kuehne+nagel embark on your path towards a successful career. kuehne+nagel stands out as an innovative logistics company with adaptability and efficiency at our core.

our advanced processes enable us to deliver exceptional services to our clients and customers. your knowledge, expertise and distinct skillsets will play a vital role in driving the organization’s growth. your roleyou will be a member of a highly skilled, international team that supports and ensures operational excellence within kuehne + nagel’s document & master data solutions department.

you will be engaged with devops activities and developer platform operations, supporting developers in all stages of development. you will be working with enterprise intelligent document processing (idp), robotic process automation (rpa) and documents solution platforms actively participating in the success of the projects. your responsibilitiesyour responsibilitiestaking part in automating and managing development & production environments provide support in all stages of the software delivery lifecycle.

create and maintain scripts and infrastructure automations. working together with infrastructure and development teams to find out how to improve the developer experience. ensure 24/7 operation of the platforms and fulfil slos and kpis.

monitor systems performance, troubleshoot errors, debug & optimize infrastructure functionality. manage permissions, identity & access management. provide clean and structured documentation.

your skills and experiencesyour skills and experience1-3 years of experience in devops or it support engineering 1-3 years of experience in public cloud (preferably aws) experience in diverse operating systems and technologies (windows server, red hat linux (rhel), powershell, bash, web server, apis, file transfer, storage, networking) 1-2 years of experience with containerization and container platforms (especially kubernetes) familiarity with at least one scripting language (python, shell scripting) will be an asset hands-on experience with infrastructure as code (iac) tools such as crossplane (preferred), terraform or cloudformation hands-on experience with gitlab or jenkins hands-on experience with monitoring and observability solutions (logging, metrics, and distributed tracing) with tools such as prometheus, grafana or opentelemetry experience in working in an agile team and tools (e.g., jira, confluence) excellent written and verbal communications skills in english. seniority level seniority level associate employment type employment type full-time job function job function engineering and information technology industries transportation, logistics, supply chain and storage referrals increase your chances of interviewing at kuehne+nagel by 2x

get notified about new devops engineer jobs in cebu, central visayas, philippines . cebu, central visayas, philippines 1 week ago cebu, central visayas, philippines 1 month ago cebu, central visayas, philippines 12 hours ago cebu, central visayas, philippines 1 week ago cebu, central visayas, philippines 2 weeks ago cebu, central visayas, philippines 1 week ago cebu, central visayas, philippines 2 weeks ago site reliability engineer (linux system admin) (cebu) (manila) cebu, central visayas, philippines 1 year ago cebu, central visayas, philippines 2 weeks ago cebu, central visayas, philippines 4 days ago cloud engineer (linux python ruby on rails) (cebu) (manila) cebu, central visayas, philippines 1 year ago cebu, central visayas, philippines 1 week ago manual quality assurance engineer for ionos cloud quality team (f/m/d) cebu, central visayas, philippines 4 weeks ago cebu, central visayas, philippines 1 week ago it and cloud support engineer – cybersecurity – cebu cebu, central visayas, philippines 1 month ago cebu, central visayas, philippines 4 weeks ago cebu, central visayas, philippines 1 week ago it specialists and technology professionals - for pooling cebu, central visayas, philippines 2 weeks ago cebu, central visayas, philippines 3 months ago cloud fullstack developer - japanese speaking cebu, central visayas, philippines 1 week ago we’re unlocking community knowledge in a new way.

experts add insights directly into each article, started with the help of ai. #j-18808-ljbffr",[]
AI Robotics Engineer (Homebased),Outsourced,Philippines,,"company description
outsourced.ph is a leading iso certified philippines offshore outsourcing company that provides dedicated remote staff to some of the world's leading international companies. outsourced is recognized as one of the best places to work and has achieved great place to work certification. we are committed to providing a positive and supportive work environment where all staff can thrive. as an outsourced staff member, you will enjoy a fun and friendly working environment, competitive salaries, opportunities for growth and development, work-life balance, and the chance to share your passion with a team of over 1000 talented professionals.

role summary:
we are seeking a highly skilled ai robotics engineer to lead the development of intelligent robotic systems and ai agents that interact with physical environments. the ideal candidate will have strong python programming abilities, proven experience in robotics (both hardware and software), and a deep understanding of ai agent design and deployment, including llms, reinforcement learning, and computer vision.

key responsibilities:


design, develop, and deploy ai agents for robotic systems using python and modern ai frameworks.
integrate sensors, actuators, and robotic middleware (e.g., ros/ros2) with ai pipelines for autonomous decision-making.
collaborate with cross-functional teams (mechanical, electrical, data science) to create smart robotic solutions.
develop and optimize control algorithms, computer vision models, and machine learning pipelines for real-world interaction.
conduct simulations and physical tests of autonomous robotic behavior.
build modular, scalable software for long-term ai system evolution and real-time performance.
document all research, coding practices, system designs, and experiments for technical transparency and replication.
stay up to date with industry trends, academic research, and emerging technologies in ai and robotics.
 required skills & qualifications:

proficiency in python with experience in libraries such as numpy, opencv, pytorch/tensorflow, and asyncio.
3+ years of experience working on robotics projects, including physical systems or simulation (e.g., gazebo, webots).
hands-on experience with ros/ros2, robotic control, path planning, or slam.
strong foundation in ai/ml techniques, including reinforcement learning, nlp, and llm-based agent design.
familiarity with embedded systems and robotic hardware integration.
experience deploying ai agents in real-world or industrial settings.
strong problem-solving skills and ability to work in a fast-paced r&d environment.
 preferred qualifications:

master’s or ph.d. in robotics, computer science, ai, or a related field.
experience with multi-agent systems, simulation environments, or digital twins.
knowledge of cloud computing (aws, gcp) and edge ai deployment.
experience working with robotic arms, drones, amrs, or humanoid systems.
  work schedule:  

monday to friday 7am-4pm
work location: 

homebased; must have strong internet at home; equipment is provided.
by clicking on the ""i'm interested"" button i hereby allow outsourced quality assured services, inc. (""outsourced"") to store and collect my personal information for the purposes of employment application. as such, i agree and authorize outsourced to collect, store, or continue to use my personal information for the above-stated purpose, and to retain my personal information for a period of 1 year, and for these purposes only.
additional information
hmo + 1 dependent free
dayshift
homebased","['embedded systems', 'python programming']"
Mechanical Engineer,Dempsey Resource Management Inc.,"Manila, Metro Manila",,"mechanical engineering is a broad field focused on designing,analyzing,manufacturing,and maintaining mechanical systems and devices.it involves applying principles of physics, mathematics,and materials science to create solutions for various industries,including automotive,aerospace,and robotics.",[]
Mechanical Engineer,International Precision Assemblies,"Rosario, Calabarzon",,"job description

a mechanical engineer, designs, builds and tests various mechanical devices, like industrial machines, transportation systems and robotics equipment. their main duties include locating problems with various machinery, conducting experiments to improve different product designs and using cad technology to build product designs.
mechanical engineer duties and responsibilities
a mechanical engineer ensures that all mechanical systems work safely and efficiently to meet user needs. their duties include:
• identifying deficiencies in mechanical processes and developing improvements
• designing and developing prototypes
• analyzing and testing prototypes and each revision of a device
• supervising the development of computer-aided design (cad) project drawings from junior team members
• developing, initiating and managing all phases of projects
• preparing documentation of critical analysis and providing suggestions for correcting errors
• collaborating with project managers for proper allocation and tracking of resources",['sis']
Senior Software Engineer (Front-End),"GROW, Inc.","Manila, Metro Manila",,"company descriptionwhether you’re working from home or on your way to the office, chances are you’re probably reading this because you’re seeking a new adventure, or you’re up for a new challenge. grow inc might just be that for you! company descriptionwhether you’re working from home or on your way to the office, chances are you’re probably reading this because you’re seeking a new adventure, or you’re up for a new challenge.

grow inc might just be that for you! so, who is grow inc? founded in 2016, we’re the australian fintech success story solving big problems in the superannuation and managed funds industry.

the administration platforms (the software that tracks everything to do with your super) are built on things you or your parents would recognise from the glory days of 90’s computing. our vision is to be the trusted, global leader in financial services technology creating simple and secure solutions our customers love. how are we doing it?

we’re solving this by disrupting the wealth management industry with dlta, our platform built on distributed ledger technology which improves the financial wellbeing of australians. we are giving people a brighter, more secure future. we’re making super more timely and information more accessible whilst enabling wealth management companies to offer more cost effective solutions.

we’re rebels with a cause. we’re authentic, diverse, and embrace our differences as we continue to put a dent in the universe. we know diversity of thought helps us to build better solutions for our customers which is why we encourage the entire grow team to bring their whole selves to work each and every day.

job descriptionfront-end software development: implement intuitive and responsive user interfaces using modern web technologies including html, css, and javascript frameworks like vue.js. database management: optimise database design and performance, ensuring efficient data storage, retrieval, and integrity. testing and quality assurance: implement and conduct thorough testing of the web applications, including unit testing, integration testing, and end-to-end testing, to ensure high-quality and bug-free software security and performance optimisation: implement security best practices and optimise application performance to ensure a secure and efficient user experience.

version control and collaboration: utilise version control systems like git and collaborate effectively with cross-functional teams, including product managers, designers, and other engineers, to achieve project goals continuous learning and improvement: stay up to date with the latest technologies, tools, and best practices in full stack development. propose and implement improvements to the development process and architecture additional informationwhy you’ll love working at growme days

take an additional 3 days of leave off per year for wellness!

birthday leave

take an extra day off per year on your birthday!

learning & development budget

up to $200 aud per year to use on your own development!

remote work arrangement

we have a flexible, remote working environment!

health insurance

for you and 2 dependents!

government contributions paid on top of salary looking for a job can be stressful and we don’t want you agonising over the wording of your cover letter, so don’t include one. just make sure your cv is well-written and detailed enough so we can get a better idea of the type of person you are. even if you don’t meet every single requirement, but you feel inspired to join our mission, we encourage you to send in your application.

you never know, you could be the perfect person to join our team! we are a circle back initiative employer – we commit to respond to every applicant seniority level seniority level mid-senior level employment type employment type full-time job function industries software development referrals increase your chances of interviewing at grow inc by 2x sign in to set job alerts for “senior software engineer” roles.

manila, national capital region, philippines 2 weeks ago makati, national capital region, philippines 1 month ago makati, national capital region, philippines 1 month ago manila, national capital region, philippines 5 months ago taguig, national capital region, philippines 1 month ago senior/staff software engineer, codashop taguig, national capital region, philippines 1 week ago mandaluyong, national capital region, philippines 2 weeks ago software engineering technical leader (full-stack) taguig, national capital region, philippines 1 day ago manila, national capital region, philippines 1 week ago sr full stack software engineer (c#, angular) manila, national capital region, philippines 1 week ago sr full stack software engineer (c# & angular) manila, national capital region, philippines 1 week ago taguig, national capital region, philippines 2 days ago manila, national capital region, philippines 2 weeks ago senior full stack web developer (react) wfh pasig, national capital region, philippines 2 weeks ago manila, national capital region, philippines 2 weeks ago quezon city, national capital region, philippines 2 weeks ago sr. software engineer (fullstack python) manila, national capital region, philippines 4 days ago embedded linux senior software engineer

optimisation manila, national capital region, philippines 5 days ago senior python developer
work

from home manila, national capital region, philippines 1 week ago manila, national capital region, philippines 1 week ago robotics process automation (rpa) senior developer mandaluyong, national capital region, philippines 2 weeks ago manila, national capital region, philippines 3 weeks ago we’re unlocking community knowledge in a new way. experts add insights directly into each article, started with the help of ai. #j-18808-ljbffr",[]
Biomedical Engineer (MIS Experienced),PhilMed Dynasty Supplies,"Manila, Metro Manila",,"responsibilities:

maintain and troubleshoot mis equipment such as endoscopy towers, laparoscopic instruments, and robotic systems.

support operating room staff with technical assistance during procedures.

collaborate with surgeons, nurses, and clinical engineers to optimize equipment use.

ensure compliance with safety and sterilization protocols.

provide training and documentation for surgical technology use.

requirements:

bachelor’s degree in biomedical engineering or related field.

2+ years of experience with mis equipment and technologies.

strong understanding of operating room procedures and sterile environments.

excellent problem-solving and communication skills.

preferred qualifications:

experience working in a surgical or hospital environment.

familiarity with robotic-assisted surgery systems (e.g., da vinci).

certifications in biomedical or surgical technology.",['sis']
Systems Engineer Lead (Cloud & Virtualization),Hedgeserv,"Manila, Metro Manila",,"hedgeserv is a leading global fund administrator with more than $450 billion in assets under administration across all investment vehicles including hedge funds, private equity funds, ucits, hybrid credit managers, funds of funds and managed account platforms. we optimize our clients' experience using unique proprietary technology coupled with robotic process automation, intuitive digital programs powered by machine learning, and enhanced by an extensive proprietary transaction data set. hedgeserv's entrepreneurial and innovative spirit cultivates a productive and agile environment enabling its team to anticipate clients' needs and consistently deliver solutions in real time. led by the most experienced team of industry experts, hedgeserv with 1,500+ professionals around the globe expertly provides customizable solutions for their clients' risk, portfolio management, middle office, investor relations, accounting, regulatory, compliance, and tax services. since its inception in 2008, hedgeserv has received numerous accolades, including top overall administrator and #1 rankings for fund accounting, reporting & reporting technology, client service, investor services, alternative fund expertise, and regulatory expertise.

hedgeserv is a progressive company with continuously evolving ways of working to ensure a future-focused mindset. our employees benefit from a robust career development framework and clear learning paths which outline career trajectory, training and progression plans. hedgeserv supports employees through a variety of offerings, including remote and hybrid working arrangements, and fully paid comprehensive health and well-being benefits. hedgeserv was recognized as a next gen employer by ripplematch on its list of 100 top workplaces for generation z for 2022. hedgeserv operates 13 offices in the united states, grand cayman, ireland, poland, bulgaria, luxembourg, philippines and australia.

job description

the enterprise engineering team is looking for a highly motivated lead systems engineer who will be responsible for the deployment and management of cloud-based and virtual infrastructure. this role requires experience in system administration, scripting, automation, and a background in coordinating with multiple teams.

the successful candidate will be a skilled engineer that knows how to execute and innovate in a modern, dynamic, and high-pressure environment. additionally, the engineer should have experience in mentoring and leading others.

please note this role will be hybrid in dallas, tx or raleigh, nc. visa sponsorship will not be offered at this time.

role responsibilities


perform day to day administration for windows based operating systems and collaboration platforms such as o365/m365.
lead technical projects, as well as perform emergency maintenance on activities requiring special knowledge.
recommend, write, and maintain scripts to increase efficiency and effectiveness of the environment.
work with external vendors and internal team members in providing technical and costs-based information related to new projects.
plan, test and implement solutions in our data center and in the cloud (aws or others).
define optimal architecture and design of new solutions based on requirements.

required skills/experience

windows, active directory, exchange online, adfs/azure, powershell, pki, virtualization technologies - vmware/citrix

desired skills/experience

very strong experience with microsoft clustering services (failover and nlb)
good understanding of core concepts for networking, virtualization and storage.
possess excellent technical problem-solving skills and attention to detail
strongly self-motivated to overcome challenges and identify new opportunities for process improvement
be part of an on-call rotation
highly driven to constantly improve skills and gain new knowledge
excellent written and oral communication with an emphasis on building a stronger team
working experience building infrastructure as code (terraform) is a plus
working experience building os images with packer is a plus
ability to mentor and lead others via strong communication and interpersonal skills
ability to provide direction and coaching
possessing any of the following certification would be a distinctive advantage (mcsa, mcse, vcp, ccna, acsa)",['sis']
